"あ","ア"
"ふーるすきゃっぷおくたーぼ","フールスキャップ・オクターボ"
"ふーるすきゃっぷくぉーと","フールスキャップ・クォート"
"ぶるすけった","ブルスケッタ"
"ぶーるすーだん","ブールスーダン"
"ぶるすと","ブルスト"
"ぷるーすと","プルースト"
"ぷるーすと","プルースト"
"ぷるーすとこうか","プルースト効果"
"ふるすふぇると","フルスフェルト"
"ぶるーすぷりんぐす","ブルースプリングス"
"ふるするちあみん","フルスルチアミン"
"ふるすろっとる","フルスロットル"
"ぷるぜにゅ","プルゼニュ"
"ぷるぜにゅしゅう","プルゼニュ州"
"ぶるせら","ブルセラ"
"ぶるせらしょう","ブルセラ症"
"ぶるせろしす","ブルセロシス"
"ぷるぜん","プルゼン"
"ぶーるせんそう","ブール戦争"
"ぶるぞん","ブルゾン"
"ぶるーだー","ブルーダー"
"ぷるだうん","プルダウン"
"ぷるだうんめにゅー","プルダウンメニュー"
"ふるたか","古鷹"
"ふるたかきょうでんいせき","古高・経田遺跡"
"ぶるたーにゅ","ブルターニュ"
"ぶるたーにゅちいきけん","ブルターニュ地域圏"
"ぶるたばがわ","ブルタバ川"
"ぷるたぶ","プルタブ"
"ぷるたみな","プルタミナ"
"ふるーだりす","フルーダリス"
"ふるーだりず","フルーダリズ"
"ぶるーたんぐびょう","ブルータング病"
"ぶるーたんご","ブルータンゴ"
"ぷるち","プルチ"
"ぷるちぇ","プルチェ"
"ぶるーちーず","ブルーチーズ"
"ぷるちねっら","プルチネッラ"
"ぷるちねるら","プルチネルラ"
"ふるつ","フルツ"
"ふるーつ","フルーツ"
"ぷるつぇばるすきーうま","プルツェバルスキーウマ"
"ぶるっくすぐん","ブルックス郡"
"ぶるっくびる","ブルックビル"
"ぶるっくりん","ブルックリン"
"ふるーつこうもり","フルーツコウモリ"
"ふるつはちまんやまこふん","古津八幡山古墳"
"ふるーつばっと","フルーツバット"
"ぶるっへ","ブルッヘ"
"ふるっらーと","フルッラート"
"ふるーてぃんぐ","フルーティング"
"ふるでゅぷれっくす","フルデュプレックス"
"ふるーでりー","フルーデリー"
"ぷるでんしゃるぷらざ","プルデンシャルプラザ"
"ぶると","ブルト"
"ぶるーとー","ブルートー"
"ふるとヴぇんぐらー","フルトヴェングラー"
"ぶるどーざー","ブルドーザー"
"ぶるどっくそーす","ブルドックソース"
"ぷるとっぷ","プルトップ"
"ぷるとにうむぴっと","プルトニウム・ピット"
"ぷるどーべい","プルドーベイ"
"ぶるとれ","ブルトレ"
"ぶるーとれいん","ブルートレイン"
"ぶるーとれーん","ブルートレーン"
"ぷるどーわん","プルドー湾"
"ふるとん","フルトン"
"ふるとん","フルトン"
"ぶるどん","ブルドン"
"ぷるとん","プルトン"
"ふるとんぐん","フルトン郡"
"ぶるーな","ブルーナ"
"ぶるーないる","ブルーナイル"
"ぶるーないるがわ","ブルーナイル川"
"ぷるなすわらじ","プルナ・スワラジ"
"ぷーるなすわらじ","プールナ・スワラジ"
"ぶるねい","ブルネイ"
"ぶるねいだるさらーむこく","ブルネイ・ダルサラーム国"
"ぶるねいむあらちほう","ブルネイ・ムアラ地方"
"ぷーるねつ","プール熱"
"ぶるねっと","ブルネット"
"ぶるねっとおこんのるぐん","ブルネットオコンノル郡"
"ぶるの","ブルノ"
"ぶるーの","ブルーノ"
"ぶるのしゅう","ブルノ州"
"ぶるのーず","ブルノーズ"
"ふるのやしろ","布留社"
"ぶるば","ブルバ"
"ぷーるばー","プールバー"
"ふるはうす","フルハウス"
"ぶるばき","ブルバキ"
"ぶるばき","ブルバキ"
"ぶるーばーど","ブルーバード"
"ぶーるばーど","ブールバード"
"ぶーるばーる","ブールバール"
"ふるはんど","フルハンド"
"ふるびら","古平"
"ふるびらぐん","古平郡"
"ふるびらちょう","古平町"
"ぶるふ","ブルフ"
"ぶるーふいるむ","ブルーフイルム"
"ぶるーふぃるむ","ブルーフィルム"
"ふるふぇいす","フルフェイス"
"ふるふぇいすますく","フルフェイス・マスク"
"ふるふぇーす","フルフェース"
"ぶるーぶっく","ブルーブック"
"ふるぶらいと","フルブライト"
"ぶるーぷりんと","ブループリント"
"ぶるぶる","ブルブル"
"ふるべじん","フルベ人"
"ふるべぞく","フルベ族"
"ふるべっき","フルベッキ"
"ぶるへりあ","ブルヘリア"
"ぶるーへるめっと","ブルーヘルメット"
"ぷーるぽあん","プールポアン"
"ぶるぼかぷにん","ブルボカプニン"
"ふるぼっこ","フルボッコ"
"ぶるーぽぴー","ブルーポピー"
"ぶるぼん","ブルボン"
"ぶるぼんちょう","ブルボン朝"
"ぶるまー","ブルマー"
"ぶるーまー","ブルーマー"
"ぶるーまー","ブルーマー"
"ぶるーまうんてん","ブルーマウンテン"
"ぶるーまうんてんさんみゃく","ブルーマウンテン山脈"
"ぶるーまうんてんほう","ブルーマウンテン峰"
"ぶるまーぬ","ブルマーヌ"
"ぶるまーぬけん","ブルマーヌ県"
"ぶるーまらん","ブルーマラン"
"ぷるまわ","プルマワ"
"ぷるまわけん","プルマワ県"
"ぷるまわちく","プルマワ地区"
"ぶるまん","ブルマン"
"ぶるーまんでー","ブルーマンデー"
"ぶるーみんぐとん","ブルーミングトン"
"ぶるむ","ブルム"
"ぶるーむ","ブルーム"
"ぶるーむ","ブルーム"
"ぶるーむ","ブルーム"
"ぷるーむ","プルーム"
"ぶるーむぐん","ブルーム郡"
"ぶるーむふぉんていん","ブルームフォンテイン"
"ぶるーむふぉんてーん","ブルームフォンテーン"
"ぶるむべあ","ブルムベア"
"ふるむーん","フルムーン"
"ぶるーむーん","ブルームーン"
"ぶるーめ","ブルーメ"
"ぷるも","プルモ"
"ぶるーもすく","ブルー・モスク"
"ぷるもん","プルモン"
"ふるやせいか","古谷製菓"
"ふるやにゅうぎょう","古谷乳業"
"ぶるーらいとよこはま","ブルーライト・ヨコハマ"
"ぶるーりーあるさー","ブルーリーアルサー"
"ふるりじん","フルリ人"
"ぶるーりっじ","ブルーリッジ"
"ぶるーりっじさんみゃく","ブルーリッジ山脈"
"ふるりゅす","フルリュス"
"ふるーる","フルール"
"ふるるす","フルルス"
"ふるーれ","フルーレ"
"ぶるーれいでぃすく","ブルーレイ・ディスク"
"ふるわ","フルワ"
"ぷるわかるた","プルワカルタ"
"ぷるわーる","プルワール"
"ぷるわんしゃるだいがく","プルワンシャル大学"
"ぷるーん","プルーン"
"ふるんくる","フルンクル"
"ふるんける","フルンケル"
"ぶるんじ","ブルンジ"
"ぶるんすむ","ブルンスム"
"ふるんぜ","フルンゼ"
"ぶるんでぃしうむ","ブルンディシウム"
"ぶるんひると","ブルンヒルト"
"ふるんぶいる","フルンブイル"
"ふれー","フレー"
"ぷれ","プレ"
"ぷれ","プレ"
"ふれあ","フレア"
"ぶれあ","ブレア"
"ぶれあ","ブレア"
"ふれあい","ふれあい"
"ぷれあヴぃひあしゅう","プレアヴィヒア州"
"ふれあすかーと","フレアスカート"
"ふれあーすかーと","フレアースカート"
"ぶれあはうす","ブレアハウス"
"ぷれあびひあじいん","プレアビヒア寺院"
"ぷれあびひあしゅう","プレアビヒア州"
"ふれい","フレイ"
"ふーれい","フーレイ"
"ぷれいあです","プレイアデス"
"ぷれいぐ","プレイグ"
"ふれいざー","フレイザー"
"ふれいず","フレイズ"
"ぶれいず","ブレイズ"
"ぷれいすてーしょん","プレイステーション"
"ぶれいど","ブレイド"
"ぷれいぼーい","プレイボーイ"
"ふれいる","フレイル"
"ふれいる","フレイル"
"ぶれいる","ブレイユ"
"ふれいるたんく","フレイル・タンク"
"ぶれいん……","ブレイン……"
"ぷれいん","プレイン"
"ぷれいん","プレイン"
"ぷれいん","プレイン"
"ぷれいん","プレイン"
"ぷれいん","プレイン"
"ぶれいんどれいん","ブレインドレイン"
"ぷれお","プレオ"
"ふれおん","フレオン"
"ぶれーかー","ブレーカー"
"ぶれが","ブレガ"
"ぷれかーさー","プレカーサー"
"ふれがしら","触頭"
"ふれがーた","フレガータ"
"ふれがーて","フレガーテ"
"ふれがーと","フレガート"
"ふれがーとふぉーげる","フレガートフォーゲル"
"ぷれきしがらす","プレキシガラス"
"ふれきしぶる","フレキシブル"
"ふれきしぶるばっく","フレキシブルバック"
"ぶれーきらいと","ブレーキライト"
"ぶれーきらんぷ","ブレーキランプ"
"ぶれーく","ブレーク"
"ふれくしょん","フレクション"
"ふれくちゃー","フレクチャー"
"ぷれくとらむ","プレクトラム"
"ぷれぐなんしー","プレグナンシー"
"ぶれーくふぁすと","ブレークファスト"
"ふれぐもーね","フレグモーネ"
"ふれぐもん","フレグモン"
"ふれぐらんす","フレグランス"
"ぶれげんつ","ブレゲンツ"
"ふれーざー","フレーザー"
"ふれーざー","フレーザー"
"ふれーざー","フレーザー"
"ふれーざー","フレーザー"
"ふれーざーがわ","フレーザー川"
"ぷれーさーぐん","プレーサー郡"
"ぷれさーじゅ","プレサージュ"
"ぷれざーじゅ","プレザージュ"
"ぷれざーじょ","プレザージョ"
"ぶれしあ","ブレシア"
"ぶれしあけん","ブレシア県"
"ふれしぇっと","フレシェット"
"ぷれしじょん","プレシジョン"
"ぷれじでんと","プレジデント"
"ぷれじでんと","プレジデント"
"ふれじゅす","フレジュス"
"ふれず","フレズ"
"ふれーず","フレーズ"
"ぶれすきあ","ブレスキア"
"ふれすこ","フレスコ"
"ふれすこが","フレスコ画"
"ぷれすて","プレステ"
"ぶれすと","ブレスト"
"ぶれすと","ブレスト"
"ぶれすとしゅう","ブレスト州"
"ぶれすとぷれーと","ブレストブレート"
"ぶれすとりとふすく","ブレスト・リトフスク"
"ぶれすとりとふすくじょうやく","ブレスト・リトフスク条約"
"ぶれすとわーく","ブレストワーク"
"ぷれすとん","プレストン"
"ふれすの","フレスノ"
"ふれずの","フレズノ"
"ふれすのぐん","フレスノ郡"
"ふれずのぐん","フレズノ郡"
"ぷれずびたー","プレズビター"
"ぷれずびてりあん","プレズビテリアン"
"ぷれずびてりあんちゃーち","プレズビテリアン・チャーチ"
"ぷれーすびる","プレースビル"
"ぷれすぶるく","プレスブルク"
"ぶれすらう","ブレスラウ"
"ぷれぜ","プレゼ"
"ぷれせつくうちゅうきち","プレセツク宇宙基地"
"ぷれぜん","プレゼン"
"ぷれぜんす","プレゼンス"
"ぷれぜんたー","プレゼンター"
"ぷれぜんつ","プレゼンツ"
"ぷれぜんてーしょん","プレゼンテーション"
"ぷれぜんと","プレゼント"
"ぷれぜんと","プレゼント"
"ぶれだ","ブレダ"
"ぷれた","プレタ"
"ぷれたぽるて","プレタポルテ"
"ふれーだーまおす","フレーダーマオス"
"ふれっしゅ","フレッシュ"
"ふれっしゅ","フレッシュ"
"ふれっしゅ","フレッシュ"
"ぶれっそん","ブレッソン"
"ぷれっつぇーもろ","プレッツェーモロ"
"ぶれっつぇる","ブレッツェル"
"ぷれっつぇる","プレッツェル"
"ふれっつふぉん","フレッツフォン"
"ふれっと","フレット"
"ふれっと","フレット"
"ぶれっど","ブレッド"
"ぶれっどくらむ","ブレッドクラム"
"ふれっぷ","フレップ"
"ふれてぃりん","フレティリン"
"ぶれてぃん","ブレティン"
"ぶれてぃんぼーど","ブレティンボード"
"ぷれでたー","プレデター"
"ぷれでたー","プレデター"
"ふれでりくすぼーけん","フレデリクスボー県"
"ふれでりくとん","フレデリクトン"
"ふれでりっく","フレデリック"
"ふれでりっくきゅうせい","フレデリック九世"
"ふれでりっくぐん","フレデリック郡"
"ふれでりっくすぼーけん","フレデリックスボー県"
"ふれでりっくだいおう","フレデリック大王"
"ふれでりっくたうん","フレデリックタウン"
"ぶれーでんとん","ブレーデントン"
"ぶれーど","ブレード"
"ぶれーど","ブレード"
"ぷれとりあ","プレトリア"
"ぶれとんうっず","ブレトンウッズ"
"ぶれとんうっずかいぎ","ブレトンウッズ会議"
"ぶれとんうっずきょうてい","ブレトンウッズ協定"
"ぶれとんうっずたいせい","ブレトンウッズ体制"
"ぷれないと","プレナイト"
"ぶれなむ","ブレナム"
"ふれねるれんず","フレネル・レンズ"
"ぶればーどぐん","ブレバード郡"
"ぷれはーのふ","プレハーノフ"
"ぶればーる","ブレバール"
"ぶれびあかつじ","ブレビア活字"
"ぶれーぶ","ブレーブ"
"ふれふぉらんとしゅう","フレフォラント州"
"ふれーふぉらんとしゅう","フレーフォラント州"
"ぷれぶらかはんとう","プレブラカ半島"
"ぶれーべ","ブレーベ"
"ぷれーぼーい","プレーボーイ"
"ぷれぽじしょん","プレポジション"
"ぷれましー","プレマシー"
"ぶれまーとん","ブレマートン"
"ぷれみお","プレミオ"
"ふれみっしゅぶらばんとしゅう","フレミッシュ・ブラバント州"
"ふれみんぐ","フレミング"
"ふれみんぐ","フレミング"
"ふれみんぐ","フレミング"
"ふれーみんぐ","フレーミング"
"ふれーむ","フレーム"
"ふれーむ","フレーム"
"ぶれーめん","ブレーメン"
"ふれもんと","フレモント"
"ぷれーりある","プレーリアル"
"ぷれりゅーど","プレリュード"
"ぷれりゅーど","プレリュード"
"ふれーる","フレール"
"ぷれるーでぃお","プレルーディオ"
"ぷれるーでぃお","プレルーディオ"
"ふれろびうむ","フレロビウム"
"ぶれーん","ブレーン"
"ぷれーん","プレーン"
"ぷれーん","プレーン"
"ふれんじー","フレンジー"
"ぶれんじゅう","ブレン銃"
"ふれんず","負レンズ"
"ぷれんす","プレンス"
"ぷれーんず","プレーンズ"
"ぶれーんすとーみんぐ","ブレーンストーミング"
"ぶれーんすとーむ","ブレーンストーム"
"ふれんすぶるく","フレンスブルク"
"ぶれんだー","ブレンダー"
"ぷれんだ","プレンダ"
"ぶれんだーじゅ","ブレンダージュ"
"ぶれんたーの","ブレンターノ"
"ぶれんたーの","ブレンターノ"
"ふれんちえんだいぶ","フレンチエンダイブ"
"ふれんちかんかん","フレンチカンカン"
"ふれんちでも","フレンチデモ"
"ぷれんてぃわん","プレンティ湾"
"ぶれんでぃんぐ","ブレンディング"
"ぶれんと","ブレント"
"ぶれんど","ブレンド"
"ぶれんとうっど","ブレントウッド"
"ぶれんとぐーす","ブレントグース"
"ぶれーんとらすと","ブレーン・トラスト"
"ふれんどりーしょとう","フレンドリー諸島"
"ぶれーんどれーん","ブレーンドレーン"
"ふれんもね","フレンモネ"
"ふろ","風炉"
"ふろー","フロー"
"ふろいす","フロイス"
"ふろいどぐん","フロイド郡"
"ぶろいらー","ブロイラー"
"ぶろいらー","ブロイラー"
"ぷろヴぁんすご","プロヴァンス語"
"ぷろヴぃでんす","プロヴィデンス"
"ぶろうぉーどぐん","ブロウォード郡"
"ふろうさん","不老山"
"ふろうしょとく","不労所得"
"ふろおけ","風呂桶"
"ぶろがー","ブロガー"
"ぷろかいん","プロカイン"
"ぶろかんと","ブロカント"
"ぷろきしふぁいと","プロキシファイト"
"ふろぎすとん","フロギストン"
"ふろく","不陸"
"ふろく","符ロク"
"ぶろぐ","ブログ"
"ぷろくし","プロクシ"
"ぷろくしさーばー","プロクシ・サーバー"
"ぷろくしふぁいと","プロクシファイト"
"ぷろくね","プロクネ"
"ぷろぐのーぜ","プログノーゼ"
"ぷろぐらまー","プログラマー"
"ぷろぐらむでぃれくたー","プログラム・ディレクター"
"ぷろくるすてす","プロクルステス"
"ぷろくるてすのしんだい","プロクルステスの寝台"
"ぷろぐれ","プログレ"
"ぷろぐれす","プログレス"
"ぷろぐれす","プログレス"
"ぷろぐれっしんぐうぃずざぼーる","プログレッシングウィズザボール"
"ぷろげりあ","プロゲリア"
"ふろごぱいと","フロゴパイト"
"ぷろこぴえすく","プロコピエフスク"
"ぷろこふぃえふ","プロコフィエフ"
"ぷろざっく","プロザック"
"ぷろしあ","プロシア"
"ぷろしああお","プロシア青"
"ぷろじぇにー","プロジェニー"
"ぷろじぇにたー","プロジェニター"
"ぷろじぇりあ","プロジェリア"
"ふろじすとん","フロジストン"
"ぷろーじっと","プロージット"
"ふろーしーと","フローシート"
"ぷろしーど","プロシード"
"ぶろすくうぃーにぁ","ブロスクウィーニャ"
"ぷろすたぐらんじん","プロスタグランジン"
"ぶろすてぃちゅーと","プロスティチュート"
"ふろすと","フロスト"
"ふろすとしゅがー","フロストシュガー"
"ぷろすぺりだーど","プロスペリダード"
"ぷろせす","プロセス"
"ぷろせすこんとろーる","プロセス・コントロール"
"ぷろせすせいぎょ","プロセス制御"
"ぷろせでゅあ","プロセデュア"
"ぷろせるぴな","プロセルピナ"
"ぶろーたー","ブローター"
"ふろたーじゅ","フロッタージュ"
"ふろちゃ","風炉茶"
"ふろーちゃーと","フローチャート"
"ふろっぎー","フロッギー"
"ふろっく","フロック"
"ふろっぐ","フロッグ"
"ぶろっく","ブロック"
"ふろっくこーと","フロックコート"
"ふろっぐまん","フロッグマン"
"ぶろっけん","ブロッケン"
"ぶろっけんげんしょう","ブロッケン現象"
"ぶろっけんさん","ブロッケン山"
"ぶろっけんのようかい","ブロッケンの妖怪"
"ぶろっけんほう","ブロッケン峰"
"ぶろっこりー","ブロッコリー"
"ぶろっこりーらーぶ","ブロッコリーラーブ"
"ぷろっさー","プロッサー"
"ふろっしゅ","フロッシュ"
"ぶろっす","ブロッス"
"ぷろったー","プロッター"
"ふろったとう","フロッタ島"
"ふろっぴー","フロッピー"
"ぷろっぷじぇっと","プロップジェット"
"ぷろつらふ","ブロツラフ"
"ぶろつわふ","ブロツワフ"
"ぶろつわふけん","ブロツワフ県"
"ぶろでぃ","ブロディ"
"ぷろていん","プロテイン"
"ふろーてぃんぐ","フローティング"
"ぶろてすでちこりあ","ブロテスデチコリア"
"ふろてまえ","風炉手前"
"ふろでまえ","風炉手前"
"ふろーど","フロード"
"ぶろーと","ブロート"
"ぷろとあくちにうむ","プロトアクチニウム"
"ぷろどぅあ","プロドゥア"
"ぶろーどげーじ","ブロードゲージ"
"ぷろとこる","プロトコル"
"ぷろとぞあ","プロトゾア"
"ぷろとたいぷ","プロトタイプ"
"ぶろーとーち","ブロートーチ"
"ふろどな","フロドナ"
"ふろどなしゅう","フロドナ州"
"ぶろーどばんでぃんぐ","ブロードバンディング"
"ぶろーどばんど","ブロードバンド"
"ぶろーどばんどでんわ","ブロードバンド電話"
"ぶろーどびーん","ブロードビーン"
"ぷろとぷらすと","プロトプラスト"
"ぷろとぷらすま","プロトプラスマ"
"ぷろとぷらずま","プロトプラズマ"
"ぷろとろんびん","プロトロンビン"
"ぷろとん","プロトン"
"ぷろとん","プロトン"
"ぷろとん","プロトン"
"ぷろとんろけっと","プロトン・ロケット"
"ぶろーにーばん","ブローニー判"
"ぶろーにゅ","ブローニュ"
"ぶーろーにゅ","ブーローニュ"
"ぶーろーにゅしゅるめーる","ブーローニュ・シュル・メール"
"ぶろーにんぐ","ブローニング"
"ぶろーにんぐはいぱわー","ブローニング・ハイパワー"
"ふろーにんげん","フローニンゲン"
"ふろーにんげんしゅう","フローニンゲン州"
"ふろーのずる","フローノズル"
"ぷろばいおてぃくす","プロバイオティクス"
"ぷろばいだー","プロバイダー"
"ぷろぱがんだ","プロパガンダ"
"ぷろぱてぃー","プロパティー"
"ぷろばんすご","プロバンス語"
"ぷろびたみん","プロビタミン"
"ぷろびでんす","プロビデンス"
"ぷろーぶ","プローブ"
"ぷろふぁいりんぐ","プロファイリング"
"ぷろふぁいる","プロファイル"
"ぷろふぃあ","プロフィア"
"ぷろふぃーる","プロフィール"
"ぷろふぇっさー","プロフェッサー"
"ぷろぶす","プロブス"
"ぷろぶでぃぶ","プロブディブ"
"ぷろぶでぃぶしゅう","プロブディブ州"
"ぶろぶでぃんなぐ","ブロブディンナグ"
"ぶろぶれむ","プロブレム"
"ぷろぺしあ","プロペシア"
"ぷろぺらんと","プロペラント"
"ぷろぽーざる","プロポーザル"
"ぷろぽーしょなる","プロポーショナル"
"ぷろぽーしょなるいんじ","プロポーショナル印字"
"ぷろぽーしょなるふぉんと","プロポーショナル・フォント"
"ぷろぽーしょん","プロポーション"
"ぷろぽーず","プロポーズ"
"ぷろぽりす","プロポリス"
"ぶろーぼーる","ブローボール"
"ぷろほろふか","プロホロフカ"
"ぶろまいど","ブロマイド"
"ぷろまいど","プロマイド"
"ぶろまいどし","ブロマイド紙"
"ぷろみす","プロミス"
"ぷろみすりんぐ","プロミスリング"
"ぷろみっくす","プロミックス"
"ぶろむ","ブロム"
"ぷろむ","プロム"
"ぷろむなーど","プロムナード"
"ぶろも","ブロモ"
"ぶろもくれぞーるぱーぷる","ブロモクレゾールパープル"
"ぶろもさん","ブロモ山"
"ぷろもーたー","プロモーター"
"ぶろもちもーるぶるー","ブロモチモールブルー"
"ぶろもふぇのーるぶるー","ブロモフェノールブルー"
"ふろら","フロラ"
"ふろーら","フローラ"
"ふろーら","フローラ"
"ふろーら","フローラ"
"ぶろら","ブロラ"
"ぶろーら","ブローラ"
"ふろーらいと","フローライト"
"ぶろらぐん","ブロラ郡"
"ぶろーらぐん","ブローラ郡"
"ぶろらけん","ブロラ県"
"ぶろらけん","ブロラ県"
"ぶろーらけん","ブローラ県"
"ぶろーらんぷ","ブローランプ"
"ふろりあのぽりす","フロリアノポリス"
"ふろりだ","フロリダ"
"ふろりだきーずしょとう","フロリダ・キーズ諸島"
"ふろりだしゅう","フロリダ州"
"ふろりだはんとう","フロリダ半島"
"ふろりだわん","フロリダ湾"
"ふろれある","フロレアル"
"ふろれす","フロレス"
"ぷろれす","プロレス"
"ふろれすげんじん","フロレス原人"
"ふろーれすげんじん","フローレス原人"
"ふろれすとう","フロレス島"
"ふろれすとう","フロレス島"
"ふろーれすとう","フローレス島"
"ぷろれすりんぐ","プロレスリング"
"ぷろれたりあーと","プロレタリアート"
"ふろれんしあ","フロレンシア"
"ふろーれんす","フローレンス"
"ふろーれんすないちんげーる","フローレンス・ナイチンゲール"
"ぷろろーぐ","プロローグ"
"ぷろろーぐ","プロローグ"
"ふろろたんにん","フロロタンニン"
"ぶろわー","ブロワー"
"ぶろわーどぐん","ブロワード郡"
"ぷろーん","プローン"
"ぶろんくすく","ブロンクス区"
"ぶろんざいと","ブロンザイト"
"ぶろんじぇ","ブロンジェ"
"ぶろんじぇりー","ブロンジェリー"
"ぶろんそん","ブロンソン"
"ぶろんて","ブロンテ"
"ぶろんて","ブロンテ"
"ぶろんて","ブロンテ"
"ぶろんでぃあ","ブロディア"
"ふろんと","フロント"
"ぶろんど","ブロンド"
"ふろんときぎょう","フロント企業"
"ふろんとさんみゃく","フロント山脈"
"ふろんとーね","フロントーネ"
"ぷろんぷたー","プロンプター"
"ぷろんぷと","プロンプト"
"ふわく","不惑"
"ふわぐん","不破郡"
"ぶわけ","ブワケ"
"ふわひん","フワヒン"
"ふわーりずむ","フワーリズム"
"ふわーりずむしゃーちょう","フワーリズム・シャー朝"
"ふわん","フワン"
"ふん","フン"
"ふーん","フーン"
"ぶーん","ブーン"
"ぷーん","プーン"
"ふんえい","墳塋"
"ぶんえいこうあんのえき","文永・弘安の役"
"ぶんえいのえき","文永の役"
"ぶんか","分科"
"ぶんか","文化"
"ぶんが","ブンガ"
"ぶんが","ブンガ"
"ぶんかいしゃしん","分解写真"
"ぶんかきょく","文化局"
"ぶんがくかい","文学界"
"ぶんかざいほごいいんかい","文化財保護委員会"
"ふんかせき","糞化石"
"ぶんかちょう","文化庁"
"ぶんかのひ","文化の日"
"ぶんかほうそう","文化放送"
"ぶんかぼうちょう","文化包丁"
"ふんかわん","噴火湾"
"ぶんがわんそろ","ブンガワンソロ"
"ぶんかーん","ブンカーン"
"ぶんかーんけん","ブンカーン県"
"ぶんきき","分岐器"
"ぶんきぐん","分岐群"
"ふんきこう","噴気孔"
"ぶんきゅう","文久"
"ぶんきゅうさんねんのせいへん","文久三年の政変"
"ふんきゅうぼ","墳丘墓"
"ぶんきょうく","文京区"
"ぶんきょうだいがく","文教大学"
"ふんく","フンク"
"ぶんぐけん","文具券"
"ふんけい","刎頚"
"ふんけいのまじわり","刎頸の交わり"
"ぷんげり","プンゲ里"
"ぷーんけん","プーン県"
"ぶんご","ぶんご"
"ぶんご","豊後"
"ぶんこう","聞香"
"ぶんごう","文豪"
"ぶんこうはい","聞香盃"
"ぶんごおおのし","豊後大野市"
"ぶんごきよかわえき","豊後清川駅"
"ぶんこくせじゅ","文庫クセジュ"
"ぶんごさんけん","豊後三賢"
"ぶんごすいどう","豊後水道"
"ぶんごすいどう","豊後水道"
"ぶんごたかだし","豊後高田市"
"ふんこつさいしん","粉骨砕身"
"ぶんごなかむらえき","豊後中村駅"
"ぶんごふじ","豊後富士"
"ふんころがし","フンコロガシ"
"ふんざ","フンザ"
"ぶんさんさーびすぼうがい","分散サービス妨害"
"ぶんさんどす","分散ＤｏＳ"
"ぶんし","分枝"
"ぶんし","分祀"
"ぶんし","分詞"
"ぶんじーでる","ブンジーデル"
"ふんじほう","分時砲"
"ぶんしょ","分署"
"ぶんしょう","文相"
"ふんしょく","糞食"
"ふんしん","分針"
"ふんじんばくはつ","粉塵爆発"
"ぶんすいまち","分水町"
"ぶんせいなんりょう","文政南鐐"
"ぶんせいにしゅぎん","文政二朱銀"
"ふんせき","糞石"
"ふんせつか","噴雪花"
"ぶんぜん","ブンゼン"
"ぶんせんけん","ブン川県"
"ぶんせんのう","文宣王"
"ぶんぜんばーなー","ブンゼン・バーナー"
"ふんぞうえ","糞掃衣"
"ふんぞく","フン族"
"ふんた","フンタ"
"ぷんたあれなす","プンタアレナス"
"ぶんたい","分隊"
"ふんたいばくはつ","粉体爆発"
"ぶんたう","ブンタウ"
"ぷんたごるだ","プンタゴルダ"
"ぶんだばー","ブンダバー"
"ぷんだりーか","プンダリーカ"
"ぶんたれっら","プンタレッラ"
"ふんたん","粉炭"
"ぷんちゃくじゃや","プンチャクジャヤ"
"ぷんちゃくじゃやけん","プンチャクジャヤ県"
"ぶんちゅう","文忠"
"ぶんちょう","文牒"
"ぶんでぃぶぎょ","ブンディブギョ"
"ぶんでぃぶぎょけん","ブンディブギョ県"
"ぶんですばーん","ブンデスバーン"
"ふんでるとばっさー","フンデルトバッサー"
"ふんと","フント"
"ふんと","フント"
"ぶんと","ブント"
"ぷんと","プント"
"ふんどう","分銅"
"ぶんどう","文豆"
"ぶんどき","分度器"
"ふんどしかつぎ","褌担ぎ"
"ぶーんどっくす","ブーンドックス"
"ぶーんどっくすどおり","ブーンドックス通り"
"ぶーんどっくすろーど","ブーンドックス・ロード"
"ぷんとらんどきょうわこく","プントランド共和国"
"ふんどん","分銅"
"ぶんぱいのほうそく","分配の法則"
"ぶんぱいほうそく","分配法則"
"ぶんぱいりつ","分配律"
"ぶんぴつ","分筆"
"ぶんびょう","文廟"
"ぶんぷく","分服"
"ぶんぶくちゃがま","ブンブクチャガマ"
"ぶんぶくちゃがま","分福茶釜"
"ぶんぼう","文房"
"ぶんぽう","分包"
"ぶんぼうしほう","文房四宝"
"ぶんほうとう","文峰塔"
"ふんぼると","フンボルト"
"ふんぼると","フンボルト"
"ふんぼると","フンボルト"
"ふんぼるとかいりゅう","フンボルト海流"
"ふんぼるとぐん","フンボルト郡"
"ふんぼるとだいがく","フンボルト大学"
"ふんぼるとぺんぎん","フンボルトペンギン"
"ふんぽん","粉本"
"ふんまー","フンマー"
"ぶんまわし","規"
"ぶんみん","文民"
"ぶんみんとうせい","文民統制"
"ふんめる","フンメル"
"ふんめる","フンメル"
"ふんめる","フンメル"
"ぷんめる","プンメル"
"ぶんや","ぶん屋,ブン屋"
"ぶんりかだいがく","文理科大学"
"ぶんりきょうかい","分離教会"
"ぶんりは","分離派"
"ふんりゅう","粉瘤"
"ぶんりゅうき","分流器"
"ぶんれい","分霊"
"ぶんれいしゃ","分霊社"
"ぶんれつこうしんきょく","分列行進曲"
"ぶんれつしき","分列式"
"ぶんれつびょう","分裂病"
"ぺ","ペ"
"へあ","ヘア"
"べあ","ベア"
"べあ","ベア"
"べあ","ベア"
"べあ","ベア"
"ぺあ","ペア"
